"template.profile","sheet","daily.mechanism","daily.giftMiddleType","sku","exportName","txt.title","txt.productNote","txt.giftLeftTitle","txt.giftLeftDesc","txt.giftLeftprice","txt.price","txt.bottomText","img.person","product.name.cn","img.productSet","product.count","product.layout","product.heightRatio","product.scale","product.gap","img.giftLeftSet","giftLeft.count","giftLeft.layout","giftLeft.heightRatio","giftLeft.scale","giftLeft.gap","img.giftMiddle","export.format"
"jddaily750","有买赠","1","","100022256301","100022256301","婴童面霜TOP1
蛋黄油护肤NO.1
强舒敏 韧屏障  安心的功效面霜","1数据来源：2025年双11期间京东排行榜-婴童护肤回购榜TOP1。
2数据来自:艾瑞市场咨询股份有限公司;统计时间:2024年1月-2024年12月,于2025 年10月完成调研","买即赠","安心霜10g*3（限量5000份，赠完即止）","89","169","买50g享80g","cuiyutao","安心霜50g","","","","","","","","3","overlap","","","","",""
"jddaily750","有买赠","1","","100212553209","100212553209","婴童面霜TOP1
蛋黄油护肤NO.1
强舒敏 韧屏障  安心的功效面霜","1数据来源：2025年双11期间京东排行榜-婴童护肤回购榜TOP1。
2数据来自:艾瑞市场咨询股份有限公司;统计时间:2024年1月-2024年12月,于2025 年10月完成调研","买即赠","安心霜10g（限量5000份，赠完即止）","29.9","99","买30g享40g","cuiyutao","安心霜30g","","","","","","","","","","","","","",""
"jddaily750","有买赠","1","","100088706555","100088706555","晒后舒红 凉感降温
强舒敏 韧屏障","","买即赠","冰沙霜10g*3（限量5000份，赠完即止）","89","169","买50g享80g","zhangziyi","冰沙霜50g","","","","","","","","3","overlap","","","","",""
"jddaily750","有买赠","1","","100244885985","100244885985","晒后舒红 凉感降温
强舒敏 韧屏障","","买即赠","冰沙霜10g（限量5000份，赠完即止）","29.9","99","买30g享40g","zhangziyi","冰沙霜30g","","","","","","","","","","","","","",""
"jddaily750","有买赠","1","","100060368599","100060368599","宝宝润肤乳TOP1
[面霜级] 身体乳 保湿舒缓实力派","1数据来源：京东平台 2025 年 11 月 13 日母婴护肤类目热销商品 TOP1","买即赠","身体乳200ml（限量5000份，赠完即止）","109","169","买400ml享600ml","cuiyutao","身体乳400ml","","","","","","","","","","","","","",""
"jddaily750","有买赠","1","","100113902756","100113902756","「真」物理防晒
敏宝可用的防晒水乳","","买即赠","防晒5ml（限量5000份，赠完即止）","19","89","买40ml享45ml","cuiyutao","防晒乳40ML","","","","","","","","","","","","","",""
"jddaily750","有买赠","1","","100060368617","100060368617","远离闷热红  舒缓汗液淹肤","","买即赠","冰沙霜10g（限量5000份，赠完即止）","29.9","79","买即赠冰沙霜10g","cuiyutao","爽身露120ml","","","","","","","","","","","","","",""
"jddaily750","有买赠","1","","100058235963","100058235963","Spa级云柔肤感，净澈不伤肤
热销沐浴露TOP1","","买即赠","身体乳100g（限量5000份，赠完即止）","79","99","买即赠身体乳100g","zhangziyi","洗发沐浴露（无香）500g","","","","","","","","","","","","","",""
"jddaily750","有买赠","1","","100305916844","100305916844","强韧加乘 倍润保湿 闪退痒红干","","买即赠","特护霜50g+特护霜10g（限量5000份，赠完即止）","98","219","买200g享260g","","特护霜200g","","","","","","","","2","overlap","","","","",""
"jddaily750","有买赠","1","","100308514218","100308514218","水润护理CP 润泽宝宝娇嫩肌","","买即赠","安心霜25g*2+身体乳200ml（赠品套内含）","279","298","下单立享拍1发5","cuiyutao","安心霜50g+身体乳400ml","","2","line","","","","","3","overlap","","","","",""
"jddaily750","有买赠","1","","100052253608","100052253608","婴童面霜TOP1
蛋黄油护肤NO.1
强舒敏 韧屏障  安心的功效面霜","1数据来源：2025年双11期间京东排行榜-婴童护肤回购榜TOP1。
2数据来自:艾瑞市场咨询股份有限公司;统计时间:2024年1月-2024年12月,于2025 年10月完成调研","买即赠","安心霜10g*6（限量5000份，赠完即止）","189","298","买100g享160g","cuiyutao","安心霜50G*2","","2","line","","","","","6","overlap","","","","",""
"jddaily750","有买赠","1","","100095724071","100095724071","晒后舒红 凉感降温
强舒敏 韧屏障","","买即赠","冰沙霜10g*6（限量5000份，赠完即止）","189","298","买100g享160g","cuiyutao","冰沙霜50G*2","","2","line","","","","","6","overlap","","","","",""
"jddaily750","有买赠","1","","100107925526","100107925526","晒后舒红 凉感降温 安心的功效面霜","","买即赠","冰沙霜10g*3+安心霜10g*3（限量5000份，赠完即止）","189","298","买100g享160g","cuiyutao","安心霜50g+夏霜50g","","2","line","","","","","6","overlap","","","","",""
"jddaily750","有买赠","1","","100271995995","100271995995","婴童面霜TOP1
蛋黄油护肤NO.1
强舒敏 韧屏障  安心的功效面霜","1数据来源：2025年双11期间京东排行榜-婴童护肤回购榜TOP1。
2数据来自:艾瑞市场咨询股份有限公司;统计时间:2024年1月-2024年12月,于2025 年10月完成调研","买即赠","防晒30ml+叮叮喷雾100ml+安心霜10g+安心霜5g（限量5000份，赠完即止）","169","308","下单立享拍1发6","","安心霜50G*2","","2","line","","","","","4","overlap","","","","",""
"jddaily750","有买赠","1","","100228422797","100228422797","远离闷热红  舒缓汗液淹肤","","买即赠","冰沙霜10g（赠品套内含）","29.9","54.5/瓶","买即赠冰沙霜10g","cuiyutao","爽身露120ML*2","","2","line","","","","","","","","","","",""
"jddaily750","有买赠","1","","100235600367","100235600367","强韧加乘 倍润保湿 闪退痒红干","","买即赠","特护霜10g+特护霜200g（赠品套内含）","269","439","买400g享610g","","特护霜200g*2","","2","line","","","","","","","","","","",""
"jddaily750","无买赠","2","","100091899995","100091899995","哪红哪痒 「点到即舒」","","","","","59","入会0.01元赢正装试用","zhangziyi","紫草乳15g","","","","","","","","","","","","","",""
"jddaily750","无买赠","2","","100102189358","100102189358","一喷爽肤  温和舒「叮」","","","","","49","入会0.01元赢正装试用","cuiyutao","叮叮舒缓喷雾100ml","","","","","","","","","","","","","",""
"jddaily750","无买赠","2","","100277930111","100277930111","亲肤安心喷 长效驱蚊虫","","","","","55","入会0.01元赢正装试用","","叮叮驱蚊喷雾100ml","","","","","","","","","","","","","",""
"jddaily750","无买赠","2","","100225628872","100225628872","Spa级云柔肤感，净澈不伤肤","","","","","84.5/瓶","入会0.01元赢正装试用","","泡泡洗沐500g*2","","2","line","","","","","","","","","","",""
